10 18
- - - 0 - - 1 - - - - - - - 2 - - -
3 - 2 - 1 - 3 - - 2 - 4 - - - - - -
- - - - - - - - - - - - - - - - - -
- - - - - - - - - - - - - - - - - -
- - - - 3 - 0 - - - - 2 - 2 - 2 - 2
- - - - - - - - - - - - - - - - - -
- - - - - - - - - - - - - - - - - -
2 - 3 - - - - - - - - - 3 - - 3 - -
- - - - - - - - - - - - - - - - - -
- - - - - - - - - - - - - - - - - -
1 1 1 2 2 2 3 3 3 3 3 4 4 4 5 5 5 6
7 7 8 8 9 9 10 10 10 11 11 12 12 12 5 5 5 6
7 7 8 8 9 9 10 10 10 11 11 12 12 12 13 13 13 13
7 7 14 14 9 9 10 10 10 11 11 12 12 12 13 13 13 13
7 7 14 14 15 15 16 16 16 11 11 17 17 18 18 19 19 20
21 21 14 14 15 15 22 22 22 11 11 17 17 18 18 19 19 20
21 21 14 14 15 15 22 22 22 23 23 17 17 18 18 19 19 20
24 24 25 25 25 26 27 27 27 23 23 28 29 29 30 31 31 31
24 24 25 25 25 26 27 27 27 23 23 28 29 29 30 31 31 31
32 32 25 25 25 26 33 33 33 23 23 28 29 29 30 31 31 31
