15 20
- 12\ 33\ 29\ - 7\ 17\ 4\ - 36\ 11\ 4\ - 7\ 15\ - 20\ 5\ 45\ 22\
\12 0 0 0 \12 0 0 0 29\20 0 0 0 \13 0 0 21\13 0 0 0 0
\20 0 0 0 7\28 0 0 0 0 0 0 0 17\33 0 0 0 0 0 0 0
- 9\23 0 0 0 0 0 7\13 0 0 0 39\23 0 0 0 0 0 7\17 0 0
\12 0 0 0 0 13\15 0 0 0 0 17\16 0 0 22\9 0 0 18\13 0 0 34\
\15 0 0 21\11 0 0 17\38 0 0 0 0 0 0 0 36\25 0 0 0 0 0
\18 0 0 0 15\10 0 0 0 17\24 0 0 0 16\7 0 0 6\15 0 0 0 0
- 17\ 29\12 0 0 0 0 13\16 0 0 31\26 0 0 0 0 0 0 27\16 0 0
\21 0 0 0 0 18\24 0 0 0 24\24 0 0 0 17\3 0 0 23\11 0 0 0
\12 0 0 0 16\8 0 0 0 24\15 0 0 0 16\38 0 0 0 0 0 0 0
- 15\16 0 0 0 0 21\20 0 0 0 0 17\23 0 0 0 10\8 0 0 13\ 30\
\12 0 0 9\13 0 0 0 8\28 0 0 0 0 0 14\29 0 0 0 0 0 0
\11 0 0 0 0 16\16 0 0 0 5\16 0 0 15\13 0 0 0 3\17 0 0 0
\41 0 0 0 0 0 0 0 \29 0 0 0 0 0 \30 0 0 0 0 0
\4 0 0 \27 0 0 0 0 \16 0 0 0 0 0 \4 0 0 \12 0 0
