14 24
- 20\ 6\ 26\ - 11\ 4\ 34\ - 9\ 5\ 17\ - 21\ 12\ 21\ - 9\ 16\ 34\ - 21\ 20\ 15\
\19 0 0 0 \10 0 0 0 \7 0 0 0 \8 0 0 0 \18 0 0 0 \11 0 0 0
\7 0 0 0 16\8 0 0 0 11\6 0 0 0 9\24 0 0 0 15\23 0 0 0 3\19 0 0 0
\33 0 0 0 0 0 10\21 0 0 0 9\23 0 0 0 23\9 0 0 0 13\16 0 0 0 0 0
- 10\ 19\8 0 0 21\9 0 0 0 11\6 0 0 0 6\18 0 0 0 19\8 0 0 0 20\6 0 0
\22 0 0 0 6\23 0 0 0 23\10 0 0 0 20\20 0 0 0 22\24 0 0 0 9\21 0 0 0
\13 0 0 22\14 0 0 0 14\21 0 0 0 6\19 0 0 0 10\8 0 0 0 23\4 0 0 14\ 8\
\18 0 0 0 0 0 8\10 0 0 0 8\9 0 0 0 12\23 0 0 0 10\35 0 0 0 0 0
- 32\ 16\6 0 0 18\22 0 0 0 32\8 0 0 0 34\20 0 0 0 34\9 0 0 0 17\4 0 0
\21 0 0 0 4\6 0 0 0 9\11 0 0 0 11\8 0 0 0 11\24 0 0 0 11\7 0 0 0
\10 0 0 20\7 0 0 0 8\22 0 0 0 8\9 0 0 0 9\19 0 0 0 7\14 0 0 13\ 23\
\21 0 0 0 0 0 12\7 0 0 0 11\22 0 0 0 4\7 0 0 0 16\18 0 0 0 0 0
\6 0 0 0 \8 0 0 0 \19 0 0 0 \18 0 0 0 \20 0 0 0 \22 0 0 0
\23 0 0 0 \18 0 0 0 \9 0 0 0 \10 0 0 0 \15 0 0 0 \10 0 0 0
