14 24
- 27\ 29\ 7\ - 26\ 13\ - 21\ 10\ - 34\ 13\ 5\ - 17\ 29\ - 8\ 21\ - 5\ 29\ 12\
\21 0 0 0 11\14 0 0 \12 0 0 \19 0 0 0 15\13 0 0 \9 0 0 16\8 0 0 0
\22 0 0 0 0 0 0 19\8 0 0 8\30 0 0 0 0 0 0 22\39 0 0 0 0 0 0
\16 0 0 10\15 0 0 17\18 0 0 0 0 0 23\ \28 0 0 0 0 0 0 0 27\8 0 0
\17 0 0 0 17\21 0 0 0 10\27 0 0 0 0 - 14\22 0 0 0 29\ 5\22 0 0 0 0
- 13\ 39\31 0 0 0 0 0 0 29\ 15\13 0 0 12\4 0 0 \29 0 0 0 0 0 10\ 26\
\19 0 0 0 0 7\ 14\11 0 0 0 0 29\23 0 0 0 24\ - 7\8 0 0 \21 0 0 0
\7 0 0 0 27\22 0 0 0 12\23 0 0 0 \6 0 0 0 15\13 0 0 10\ 27\7 0 0 0
\15 0 0 3\12 0 0 0 25\30 0 0 0 0 14\37 0 0 0 0 0 0 0 0 4\12 0 0
\13 0 0 0 0 \13 0 0 0 0 29\9 0 0 0 10\11 0 0 12\ 14\17 0 0 0 0 0
- 18\6 0 0 0 6\ 20\12 0 0 24\21 0 0 0 21\11 0 0 \11 0 0 10\3 0 0 23\ 12\
\17 0 0 16\36 0 0 0 0 0 0 0 8\26 0 0 0 0 15\26 0 0 0 0 12\14 0 0
\10 0 0 0 \20 0 0 0 \22 0 0 0 \17 0 0 0 0 0 \33 0 0 0 0 0
\24 0 0 0 \6 0 0 0 \18 0 0 0 \12 0 0 \9 0 0 \12 0 0 0 0 -
