14 24
- 10\ 10\ - - - 14\ 26\ 7\ - 11\ 13\ 23\ - - - 8\ 34\ 24\ - - - 19\ 12\
\16 0 0 29\ - 41\23 0 0 0 \23 0 0 0 42\ - 7\16 0 0 0 6\ - 31\9 0 0
\10 0 0 0 6\18 0 0 0 0 \12 0 0 0 0 9\33 0 0 0 0 0 10\23 0 0 0
- \21 0 0 0 0 0 0 9\ - 30\22 0 0 0 0 0 12\22 0 0 0 0 0 0 -
- - 18\21 0 0 0 4\4 0 0 11\12 0 0 6\14 0 0 15\7 0 0 12\10 0 0 0 18\ -
- 21\10 0 0 14\6 0 0 11\24 0 0 0 28\34 0 0 0 0 0 0 0 28\21 0 0 0 22\
\16 0 0 23\21 0 0 0 0 12\16 0 0 0 0 0 20\12 0 0 16\15 0 0 13\18 0 0 0
\15 0 0 0 0 0 17\15 0 0 17\14 0 0 16\6 0 0 6\15 0 0 13\16 0 0 0 0 0
\13 0 0 0 24\17 0 0 26\11 0 0 22\34 0 0 0 0 0 17\21 0 0 0 0 29\9 0 0
- \22 0 0 0 21\36 0 0 0 0 0 0 0 10\19 0 0 0 21\16 0 0 3\13 0 0 -
- - 22\20 0 0 0 10\6 0 0 14\13 0 0 23\5 0 0 \14 0 0 24\13 0 0 0 9\ -
- 11\22 0 0 0 0 0 0 17\34 0 0 0 0 0 4\ - 12\23 0 0 0 0 0 0 16\
\19 0 0 0 \32 0 0 0 0 0 \12 0 0 0 0 \20 0 0 0 0 \23 0 0 0
\14 0 0 - - \24 0 0 0 - - \11 0 0 0 \24 0 0 0 - - \9 0 0
