12 16
- 8\ 15\ 29\ - 12\ 11\ 34\ - 16\ 27\ 7\ - 12\ 9\ 14\
\22 0 0 0 10\8 0 0 0 \6 0 0 0 6\8 0 0 0
\42 0 0 0 0 0 0 0 \41 0 0 0 0 0 0 0
- 32\ 18\15 0 0 16\9 0 0 6\12 0 0 34\7 0 0 34\ 16\
\17 0 0 0 21\42 0 0 0 0 0 0 0 7\7 0 0 0
\7 0 0 \5 0 0 \9 0 0 0 \5 0 0 \13 0 0
\10 0 0 \15 0 0 - 17\ 16\ 34\ \8 0 0 \7 0 0
\4 0 0 26\11 0 0 28\24 0 0 0 10\13 0 0 29\10 0 0
\24 0 0 0 7\35 0 0 0 0 0 0 0 5\21 0 0 0
- 16\ 6\12 0 0 17\12 0 0 \6 0 0 16\10 0 0 4\ 6\
\32 0 0 0 0 0 0 0 \28 0 0 0 0 0 0 0
\22 0 0 0 \19 0 0 0 \17 0 0 0 \16 0 0 0
