12 16
- 7\ 22\ 18\ - 13\ 29\ 17\ - 9\ 33\ 13\ - 32\ 7\ 17\
\14 0 0 0 \23 0 0 0 \21 0 0 0 \10 0 0 0
\21 0 0 0 24\20 0 0 0 \7 0 0 0 21\19 0 0 0
\22 0 0 0 0 0 0 31\ - 17\39 0 0 0 0 0 0
- 20\ 7\18 0 0 0 0 0 23\15 0 0 0 0 0 20\ 7\
\19 0 0 0 0 \34 0 0 0 0 0 \28 0 0 0 0
\5 0 0 28\ 10\ - 34\24 0 0 0 30\ - 6\ 34\9 0 0
\28 0 0 0 0 30\33 0 0 0 0 0 10\12 0 0 0 0
- 23\ 8\16 0 0 0 0 0 \17 0 0 0 0 0 9\ 12\
\34 0 0 0 0 0 0 6\ - 12\37 0 0 0 0 0 0
\10 0 0 0 \19 0 0 0 \6 0 0 0 \8 0 0 0
\21 0 0 0 \20 0 0 0 \19 0 0 0 \11 0 0 0
