12 18
- 20\ 29\ - 7\ 9\ - 30\ 7\ 22\ - 23\ 27\ 4\ - 32\ 10\ 11\
\9 0 0 \8 0 0 17\10 0 0 0 \11 0 0 0 14\23 0 0 0
\17 0 0 10\22 0 0 0 0 0 0 22\29 0 0 0 0 0 0 0
\13 0 0 0 0 15\13 0 0 22\29 0 0 0 0 17\11 0 0 0 0
- 18\3 0 0 16\23 0 0 0 0 0 0 6\19 0 0 0 0 28\ 23\
\39 0 0 0 0 0 0 9\38 0 0 0 0 0 0 17\17 0 0 0
\5 0 0 21\9 0 0 35\8 0 0 29\4 0 0 25\11 0 0 23\16 0 0
\23 0 0 0 14\27 0 0 0 0 0 0 13\38 0 0 0 0 0 0
- 18\ 21\19 0 0 0 0 20\39 0 0 0 0 0 0 10\8 0 0 13\
\22 0 0 0 0 5\11 0 0 0 0 10\4 0 0 12\25 0 0 0 0
\29 0 0 0 0 0 0 0 \21 0 0 0 0 0 0 \8 0 0
\23 0 0 0 \17 0 0 0 \20 0 0 0 \10 0 0 \3 0 0
