12 16
- 11\ 23\ - 14\ 15\ 19\ 16\ - 6\ 29\ 26\ 9\ - 16\ 17\
\4 0 0 17\29 0 0 0 0 \11 0 0 0 0 4\12 0 0
\41 0 0 0 0 0 0 0 \42 0 0 0 0 0 0 0
- 9\14 0 0 \3 0 0 7\ 3\ 15\8 0 0 \3 0 0 11\
\17 0 0 8\ 23\41 0 0 0 0 0 0 0 6\ 23\3 0 0
\16 0 0 0 0 0 \11 0 0 0 \33 0 0 0 0 0
- 16\ 26\9 0 0 33\ - 6\ 15\ 3\ - 19\10 0 0 24\ 6\
\33 0 0 0 0 0 12\11 0 0 0 29\16 0 0 0 0 0
\14 0 0 4\ \41 0 0 0 0 0 0 0 - 7\11 0 0
- 6\3 0 0 17\4 0 0 13\ - 17\13 0 0 3\3 0 0 14\
\29 0 0 0 0 0 0 0 \41 0 0 0 0 0 0 0
\14 0 0 \28 0 0 0 0 \29 0 0 0 0 0 0 0
