12 20
- - 30\ 16\ 14\ 27\ 11\ - 17\ 38\ 15\ 10\ 16\ - 38\ 17\ 23\ 12\ 29\ -
- 30\35 0 0 0 0 0 \34 0 0 0 0 0 \17 0 0 0 0 0 14\
\38 0 0 0 0 0 0 \26 0 0 0 0 0 \38 0 0 0 0 0 0
\16 0 0 32\6 0 0 0 34\ 7\20 0 0 0 10\ 16\23 0 0 0 17\17 0 0
\19 0 0 0 20\22 0 0 0 0 0 19\16 0 0 0 0 0 8\7 0 0 0
\16 0 0 0 0 0 26\29 0 0 0 0 25\38 0 0 0 0 0 0 0 0
- 30\ 18\15 0 0 16\15 0 0 3\6 0 0 0 12\5 0 0 21\4 0 0 34\ 29\
\44 0 0 0 0 0 0 0 0 28\30 0 0 0 0 30\17 0 0 0 0 0
\22 0 0 0 21\15 0 0 0 0 0 10\16 0 0 0 0 0 6\24 0 0 0
\16 0 0 14\14 0 0 0 - 14\20 0 0 0 16\ \10 0 0 0 6\14 0 0
\22 0 0 0 0 0 0 \34 0 0 0 0 0 \38 0 0 0 0 0 0
- \31 0 0 0 0 0 \24 0 0 0 0 0 \26 0 0 0 0 0 -
