12 18
- 24\ 14\ 16\ - 22\ 13\ - 22\ 3\ 12\ - 30\ 9\ - 17\ 23\ 12\
\10 0 0 0 \9 0 0 \10 0 0 0 \12 0 0 \13 0 0 0
\20 0 0 0 30\13 0 0 29\13 0 0 0 41\8 0 0 42\23 0 0 0
\36 0 0 0 0 0 0 0 0 \39 0 0 0 0 0 0 0 0
- 23\ 11\12 0 0 15\3 0 0 9\ 7\ 20\10 0 0 17\10 0 0 20\ 6\
\20 0 0 0 0 0 \33 0 0 0 0 0 \19 0 0 0 0 0
\12 0 0 22\11 0 0 \27 0 0 0 0 0 \5 0 0 19\12 0 0
\28 0 0 0 0 0 19\16 0 0 0 0 0 17\27 0 0 0 0 0
- 9\ 8\4 0 0 24\4 0 0 17\ - 9\6 0 0 18\10 0 0 8\ 14\
\38 0 0 0 0 0 0 0 0 12\40 0 0 0 0 0 0 0 0
\19 0 0 0 \16 0 0 \20 0 0 0 \3 0 0 \22 0 0 0
\11 0 0 0 \10 0 0 \8 0 0 0 \14 0 0 \7 0 0 0
