12 18
- - 11\ 41\ 17\ 8\ 15\ 39\ - 27\ 12\ 10\ 25\ - 28\ 5\ 13\ 6\
- 22\38 0 0 0 0 0 0 \28 0 0 0 0 \24 0 0 0 0
\31 0 0 0 0 0 0 0 22\12 0 0 0 0 12\13 0 0 0 0
\19 0 0 0 21\ 13\ \18 0 0 0 0 37\23 0 0 0 44\ 6\ 17\
\18 0 0 0 0 0 \22 0 0 0 25\33 0 0 0 0 0 0 0
- 6\ 10\10 0 0 0 \16 0 0 \5 0 0 - 9\ 22\7 0 0 0
\25 0 0 0 0 0 \5 0 0 \15 0 0 \30 0 0 0 0 0
\13 0 0 0 15\ 8\ 22\8 0 0 14\7 0 0 \13 0 0 0 29\ 19\
\33 0 0 0 0 0 0 0 18\21 0 0 0 \26 0 0 0 0 0
- 14\ 9\ 15\23 0 0 0 5\13 0 0 0 0 11\ 7\ 12\24 0 0 0
\15 0 0 0 0 \28 0 0 0 0 \29 0 0 0 0 0 0 0
\26 0 0 0 0 \13 0 0 0 0 \37 0 0 0 0 0 0 -
