12 16
- - 22\ 29\ - - - 4\ 9\ 11\ - - - 24\ 39\ 16\
- 17\10 0 0 16\ - 10\6 0 0 0 29\ - 16\23 0 0 0
\29 0 0 0 0 4\15 0 0 0 0 0 24\30 0 0 0 0
\35 0 0 0 0 0 0 7\35 0 0 0 0 0 0 0 4\
- \4 0 0 11\6 0 0 0 18\29 0 0 0 0 29\10 0 0
- - 22\17 0 0 29\6 0 0 0 24\17 0 0 12\8 0 0 0
- 10\11 0 0 0 0 19\20 0 0 0 27\10 0 0 0 0 -
\7 0 0 0 23\11 0 0 10\23 0 0 0 16\17 0 0 30\ -
\16 0 0 18\27 0 0 0 0 6\23 0 0 0 8\11 0 0 4\
- 17\28 0 0 0 0 0 0 0 4\38 0 0 0 0 0 0
\29 0 0 0 0 \15 0 0 0 0 0 \12 0 0 0 0
\18 0 0 0 - - \7 0 0 0 - - \15 0 0 -
