26 41
- - - - - 32\ 6\ 10\ - - - - - - 36\ 14\ - - - - - - - 29\ 16\ 23\ - - 16\ 11\ - - - - 40\ 6\ - 16\ 3\ - -
- 3\ 27\ 10\ \18 0 0 0 42\ - - 35\ 12\ 15\16 0 0 - 11\ 7\ - 9\ 11\ 25\21 0 0 0 29\ \9 0 0 7\ - - 17\13 0 0 16\7 0 0 - -
\7 0 0 0 3\20 0 0 0 0 35\ \35 0 0 0 0 0 17\6 0 0 44\30 0 0 0 0 0 0 0 \13 0 0 0 16\ \25 0 0 0 0 0 0 19\ 10\
\21 0 0 0 0 0 0 11\8 0 0 4\11 0 0 0 0 \41 0 0 0 0 0 0 0 0 \14 0 0 - 13\6 0 0 0 16\16 0 0 7\14 0 0 33\4 0 0
- \14 0 0 0 0 3\31 0 0 0 0 0 23\9 0 0 6\10 0 0 0 0 8\10 0 0 0 40\8 0 0 16\32 0 0 0 0 0 34\6 0 0 10\11 0 0 0 0
- \10 0 0 6\44 0 0 0 0 0 0 0 0 \16 0 0 0 0 7\29 0 0 0 0 10\15 0 0 0 0 0 - \38 0 0 0 0 0 0 39\24 0 0 0
- - - 11\7 0 0 0 \11 0 0 11\15 0 0 19\6 0 0 0 18\10 0 0 0 \26 0 0 0 0 8\4 0 0 4\ 6\ - 10\11 0 0 \14 0 0 0 0 -
- 12\ 16\11 0 0 - 8\ 23\23 0 0 0 6\19 0 0 0 15\14 0 0 0 0 16\ - 14\10 0 0 \4 0 0 5\6 0 0 41\18 0 0 0 24\ 13\19 0 0 0 -
\11 0 0 0 0 30\24 0 0 0 36\4 0 0 14\7 0 0 0 18\10 0 0 0 0 7\24 0 0 0 23\37 0 0 0 0 0 0 0 0 33\26 0 0 0 0 15\ 4\
\10 0 0 14\ 16\14 0 0 0 20\26 0 0 0 0 0 39\7 0 0 0 \11 0 0 0 0 \16 0 0 0 0 0 9\ 4\42 0 0 0 0 0 0 0 11\3 0 0
- 6\27 0 0 0 0 30\23 0 0 0 40\5 0 0 11\26 0 0 0 0 12\18 0 0 0 14\ \11 0 0 10\ 25\ \10 0 0 0 0 13\17 0 0 6\11 0 0 0 0
\39 0 0 0 0 0 0 \7 0 0 0 12\29 0 0 0 0 0 0 0 30\6 0 0 0 29\26 0 0 0 0 11\7 0 0 0 25\15 0 0 11\29 0 0 0 0 -
\6 0 0 0 \13 0 0 20\39 0 0 0 0 0 0 0 0 - \13 0 0 0 \23 0 0 0 \11 0 0 0 0 16\22 0 0 0 0 0 0 \4 0 0 -
- - 11\ 19\ - 17\10 0 0 16\24 0 0 0 18\10 0 0 15\ - 43\8 0 0 - 34\11 0 0 - - 23\3 0 0 30\23 0 0 0 7\11 0 0 20\ - 11\ 16\ 8\
- \11 0 0 21\39 0 0 0 0 0 0 4\29 0 0 0 0 24\14 0 0 0 19\17 0 0 0 34\ 6\42 0 0 0 0 0 0 0 0 \3 0 0 14\7 0 0 0
- 4\21 0 0 0 0 21\17 0 0 30\7 0 0 0 \25 0 0 0 0 \23 0 0 0 38\28 0 0 0 0 0 0 0 24\6 0 0 0 22\21 0 0 0 0 0 0
\11 0 0 0 0 4\11 0 0 18\25 0 0 0 0 9\ 35\ 7\11 0 0 - 17\8 0 0 0 \27 0 0 0 0 7\13 0 0 17\11 0 0 0 12\27 0 0 0 0 13\
\3 0 0 28\29 0 0 0 0 0 0 0 7\ 3\34 0 0 0 0 0 7\30 0 0 0 0 10\13 0 0 0 38\34 0 0 0 0 0 28\23 0 0 0 10\ 4\11 0 0
- - \14 0 0 0 0 29\39 0 0 0 0 0 0 0 0 \17 0 0 0 \19 0 0 0 0 27\6 0 0 0 23\17 0 0 19\13 0 0 0 \18 0 0 0 0
- - 14\14 0 0 14\ \15 0 0 0 \4 0 0 17\8 0 0 30\3 0 0 33\ - 16\25 0 0 0 0 16\10 0 0 0 19\6 0 0 0 - 9\ 25\3 0 0 - -
- 7\15 0 0 0 0 10\10 0 0 9\ 23\ - \15 0 0 30\26 0 0 0 0 14\23 0 0 0 27\24 0 0 0 \16 0 0 12\3 0 0 15\6 0 0 0 30\ 10\ -
\6 0 0 0 27\38 0 0 0 0 0 0 7\ 24\30 0 0 0 0 0 29\29 0 0 0 0 8\30 0 0 0 0 7\44 0 0 0 0 0 0 0 0 14\7 0 0 -
\28 0 0 0 0 11\3 0 0 8\24 0 0 0 0 0 \17 0 0 \9 0 0 0 8\10 0 0 0 0 \3 0 0 7\34 0 0 0 0 0 19\26 0 0 0 0 8\
\4 0 0 9\17 0 0 7\7 0 0 \10 0 0 0 14\ \11 0 0 16\42 0 0 0 0 0 0 0 0 16\11 0 0 0 0 \7 0 0 17\39 0 0 0 0 0 0
- - \22 0 0 0 0 0 0 - \20 0 0 0 \36 0 0 0 0 0 0 0 \8 0 0 \28 0 0 0 0 0 - \30 0 0 0 0 \10 0 0 0
- - \17 0 0 \3 0 0 - - - \11 0 0 - \23 0 0 0 - - - - - - \11 0 0 - - - - - \11 0 0 0 - - - -
