14 20
- - - 16\ 12\ 30\ - - - 18\ 30\ 9\ - - - 13\ 7\ 4\ - -
- - 39\23 0 0 0 15\ - 33\23 0 0 0 23\ - 16\7 0 0 0 11\ -
- 10\34 0 0 0 0 0 11\28 0 0 0 0 0 15\15 0 0 0 0 0 4\
\12 0 0 - 16\38 0 0 0 0 0 0 16\30 0 0 0 0 28\ \8 0 0
\10 0 0 16\17 0 0 30\16 0 0 \32 0 0 0 0 0 0 0 35\3 0 0
\14 0 0 0 0 16\13 0 0 0 25\ 24\6 0 0 0 30\ \15 0 0 0 -
\9 0 0 0 13\15 0 0 \29 0 0 0 0 0 0 0 13\17 0 0 39\ -
- \29 0 0 0 0 0 18\ 16\23 0 0 0 15\ \35 0 0 0 0 0 29\
- - 15\10 0 0 \34 0 0 0 0 0 0 0 7\15 0 0 7\23 0 0 0
- 9\6 0 0 0 30\ 8\8 0 0 0 14\ \11 0 0 0 19\25 0 0 0 0
\15 0 0 \42 0 0 0 0 0 0 0 23\4 0 0 16\4 0 0 \9 0 0
\4 0 0 5\ 6\15 0 0 0 0 4\23 0 0 0 0 0 0 13\ 16\13 0 0
- \19 0 0 0 0 0 \19 0 0 0 0 0 \35 0 0 0 0 0 -
- - \9 0 0 0 - - \19 0 0 0 - - \24 0 0 0 - -
