12 16
- 8\ 38\ - 9\ 34\ 8\ 23\ - 11\ 11\ 3\ 20\ - 17\ 24\
\6 0 0 \27 0 0 0 0 14\10 0 0 0 0 \6 0 0
\14 0 0 32\45 0 0 0 0 0 0 0 0 0 33\4 0 0
\16 0 0 0 0 0 14\10 0 0 0 22\ 39\29 0 0 0 0
- 7\16 0 0 9\14 0 0 5\29 0 0 0 0 \23 0 0 0
\41 0 0 0 0 0 0 0 21\ 13\16 0 0 16\6 0 0 0
\11 0 0 0 0 23\ 29\28 0 0 0 0 0 0 0 34\ 16\
- 10\ 14\30 0 0 0 0 \14 0 0 23\33 0 0 0 0 0
\8 0 0 0 12\16 0 0 6\11 0 0 0 0 10\ \5 0 0
\3 0 0 15\16 0 0 0 0 0 16\19 0 0 0 12\13 0 0
\27 0 0 0 0 \33 0 0 0 0 0 \30 0 0 0 0
\12 0 0 0 0 \18 0 0 0 0 0 \12 0 0 0 0
