15 20
- 17\ 34\ - 14\ 17\ 5\ - 40\ 4\ 12\ - 13\ 15\ - 15\ 24\ 17\ 16\ 30\
\16 0 0 \8 0 0 0 6\18 0 0 0 \7 0 0 25\28 0 0 0 0 0
\11 0 0 30\28 0 0 0 0 0 0 0 20\41 0 0 0 0 0 0 0 0
- 16\19 0 0 0 0 7\14 0 0 12\8 0 0 0 3\21 0 0 0 6\16 0 0
\24 0 0 0 17\15 0 0 17\4 0 0 9\22 0 0 0 0 0 20\16 0 0 0
\12 0 0 0 0 32\33 0 0 0 0 0 0 21\4 0 0 17\3 0 0 45\ 3\
\21 0 0 0 0 0 16\3 0 0 27\13 0 0 0 15\27 0 0 0 0 0 0
\4 0 0 30\30 0 0 0 0 0 0 0 24\7 0 0 27\9 0 0 9\4 0 0
- 15\ 21\15 0 0 0 0 29\16 0 0 38\28 0 0 0 0 30\12 0 0 0 22\
\34 0 0 0 0 0 0 0 32\30 0 0 0 0 17\16 0 0 19\8 0 0 0
\22 0 0 0 15\39 0 0 0 0 0 0 0 20\40 0 0 0 0 0 0 0
- 13\6 0 0 0 10\35 0 0 0 0 0 4\22 0 0 0 0 0 10\4 0 0
\25 0 0 0 0 0 9\17 0 0 16\26 0 0 0 0 11\20 0 0 0 0 0
\22 0 0 0 0 0 0 \35 0 0 0 0 0 0 0 \13 0 0 0 0
\4 0 0 \24 0 0 0 \23 0 0 0 \6 0 0 0 \30 0 0 0 0
