12 16
- - - 9\ 7\ 24\ 29\ - - - 6\ 14\ 24\ 42\ - -
- - 28\13 0 0 0 0 11\ - 22\23 0 0 0 0 11\ -
- 9\28 0 0 0 0 0 0 15\22 0 0 0 0 0 0 11\
\23 0 0 0 \38 0 0 0 0 0 0 \28 0 0 0 0
\5 0 0 29\ - 12\14 0 0 0 0 36\ - 14\12 0 0 0
- \8 0 0 12\9 0 0 0 \17 0 0 5\20 0 0 0 -
- - 29\18 0 0 0 0 14\ - 28\12 0 0 0 0 10\ -
- 9\23 0 0 0 \13 0 0 15\21 0 0 0 \11 0 0 17\
\12 0 0 0 24\ - 7\13 0 0 0 0 9\ - 24\12 0 0
\29 0 0 0 0 10\26 0 0 0 0 0 0 13\21 0 0 0
- \22 0 0 0 0 0 0 \29 0 0 0 0 0 0 -
- - \27 0 0 0 0 - - \30 0 0 0 0 - -
