12 16
- 14\ 23\ 15\ - - 6\ 33\ - 32\ 16\ - - 22\ 22\ 6\
\11 0 0 0 - 4\5 0 0 10\17 0 0 16\ \10 0 0 0
\21 0 0 0 18\42 0 0 0 0 0 0 0 23\19 0 0 0
\16 0 0 0 0 0 35\9 0 0 0 34\33 0 0 0 0 0
- 24\ 7\14 0 0 10\34 0 0 0 0 0 22\7 0 0 7\ 21\
\36 0 0 0 0 0 0 0 \37 0 0 0 0 0 0 0
\8 0 0 35\ 22\16 0 0 33\ - 16\16 0 0 19\ 23\6 0 0
\41 0 0 0 0 0 0 0 11\41 0 0 0 0 0 0 0
- 12\ 8\17 0 0 12\28 0 0 0 0 0 23\3 0 0 23\ 6\
\17 0 0 0 0 0 8\22 0 0 0 7\33 0 0 0 0 0
\8 0 0 0 \42 0 0 0 0 0 0 0 \19 0 0 0
\22 0 0 0 \8 0 0 0 \9 0 0 0 \11 0 0 0
