14 20
- - 11\ 32\ 13\ - 30\ 16\ 29\ - - - 13\ 4\ 27\ - 5\ 35\ 12\ -
- 6\24 0 0 0 34\23 0 0 0 35\ - 35\7 0 0 0 15\21 0 0 0 14\
\45 0 0 0 0 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
\16 0 0 0 24\16 0 0 \15 0 0 15\6 0 0 \8 0 0 11\18 0 0 0
- - 35\30 0 0 0 0 \33 0 0 0 0 0 \19 0 0 0 0 33\ -
- 7\29 0 0 0 0 6\ 20\ 7\24 0 0 0 16\ 6\ 23\29 0 0 0 0 23\
\7 0 0 \22 0 0 0 0 0 0 \30 0 0 0 0 0 0 \14 0 0
\11 0 0 - 8\ 20\13 0 0 0 35\ - 17\13 0 0 0 35\ 23\ \16 0 0
\10 0 0 18\23 0 0 0 0 0 0 10\30 0 0 0 0 0 0 15\12 0 0
- \12 0 0 0 0 10\ - 27\9 0 0 0 13\ - 30\25 0 0 0 0 -
- 4\ 6\11 0 0 0 0 \32 0 0 0 0 0 \28 0 0 0 0 7\ 16\
\8 0 0 0 6\6 0 0 4\16 0 0 \8 0 0 17\13 0 0 17\13 0 0 0
\45 0 0 0 0 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
- \9 0 0 0 \7 0 0 0 - - \23 0 0 0 \11 0 0 0 -
