26 41
- - - - 37\ 6\ - - - 16\ 24\ 35\ - 16\ 23\ 15\ - - - - - 22\ 15\ 30\ - 8\ 17\ 16\ - - - - - 10\ 44\ - 4\ 16\ - - -
- - - \4 0 0 11\ - 19\21 0 0 0 \19 0 0 0 24\ 13\ - - 10\23 0 0 0 \11 0 0 0 23\ - - - 3\17 0 0 5\10 0 0 7\ - -
- - - \19 0 0 0 7\28 0 0 0 0 35\34 0 0 0 0 0 12\ \28 0 0 0 0 17\30 0 0 0 0 4\ - 35\28 0 0 0 0 0 0 0 27\ -
- 6\ 20\ 15\15 0 0 0 0 0 29\24 0 0 0 11\35 0 0 0 0 0 4\10 0 0 23\16 0 0 - 38\9 0 0 0 41\10 0 0 8\7 0 0 6\ 12\7 0 0 3\
\26 0 0 0 0 28\13 0 0 0 0 \15 0 0 0 23\8 0 0 \7 0 0 0 15\23 0 0 0 29\38 0 0 0 0 0 0 13\3 0 0 \4 0 0 \4 0 0
\16 0 0 0 0 0 - 6\6 0 0 34\29 0 0 0 0 0 19\ 7\ \12 0 0 0 0 29\ 9\16 0 0 - - \34 0 0 0 0 0 8\6 0 0 10\7 0 0
\12 0 0 \14 0 0 6\29 0 0 0 0 34\21 0 0 0 24\4 0 0 - 11\ 4\39 0 0 0 0 0 0 - - \16 0 0 0 30\22 0 0 0 0 0 0 6\
- - 45\ 3\11 0 0 0 0 \45 0 0 0 0 0 0 0 0 0 \7 0 0 0 29\22 0 0 0 0 21\ 3\ 16\17 0 0 \23 0 0 0 18\ 17\6 0 0 0
- 26\4 0 0 7\4 0 0 16\ - 16\13 0 0 - - \21 0 0 0 10\8 0 0 8\13 0 0 \31 0 0 0 0 0 0 - 24\10 0 0 21\35 0 0 0 0 0
\28 0 0 0 0 0 0 0 19\23 0 0 0 - - \8 0 0 3\4 0 0 \24 0 0 0 7\ 13\16 0 0 0 0 0 \17 0 0 14\11 0 0 0 16\ 45\ -
\17 0 0 \6 0 0 \34 0 0 0 0 0 3\ 4\ 25\15 0 0 0 0 0 \3 0 0 12\29 0 0 0 0 8\3 0 0 11\35 0 0 0 0 0 8\4 0 0 -
\4 0 0 \4 0 0 21\4 0 0 17\ 29\16 0 0 0 0 0 \4 0 0 42\ 3\ \10 0 0 0 0 13\ 23\5 0 0 4\13 0 0 \10 0 0 16\24 0 0 0 -
\16 0 0 29\ - 3\29 0 0 0 0 0 11\9 0 0 0 17\ 30\ \9 0 0 0 4\13 0 0 \28 0 0 0 0 0 0 0 6\ - 33\18 0 0 0 0 0 -
- \9 0 0 8\10 0 0 0 \24 0 0 0 15\ 4\24 0 0 0 - 6\10 0 0 0 0 18\ \20 0 0 0 3\ 5\7 0 0 0 7\23 0 0 0 \11 0 0 11\
- \15 0 0 0 0 0 4\ - 7\42 0 0 0 0 0 0 0 14\8 0 0 \8 0 0 0 4\ - 15\7 0 0 0 15\17 0 0 0 0 0 28\ 19\ \5 0 0
- \24 0 0 0 6\3 0 0 30\9 0 0 28\3 0 0 12\ 42\29 0 0 0 0 16\ - 11\5 0 0 35\15 0 0 0 0 0 16\ 3\4 0 0 \14 0 0 \12 0 0
- \14 0 0 3\16 0 0 0 0 0 \4 0 0 4\30 0 0 0 0 10\17 0 0 \15 0 0 0 0 0 - - \16 0 0 0 0 0 24\4 0 0 4\3 0 0
- 11\ 21\ 24\6 0 0 0 36\11 0 0 \19 0 0 0 0 0 28\ \14 0 0 0 3\11 0 0 23\9 0 0 - - \6 0 0 0 \42 0 0 0 0 0 0 0
\17 0 0 0 0 0 16\14 0 0 - 35\29 0 0 0 0 0 0 8\6 0 0 6\4 0 0 \17 0 0 0 21\ 21\ 28\7 0 0 13\ - 17\11 0 0 42\3 0 0 -
\17 0 0 0 20\ 24\23 0 0 0 14\9 0 0 - - \10 0 0 0 0 24\8 0 0 0 \45 0 0 0 0 0 0 0 0 0 35\30 0 0 0 0 - 6\ 7\
- 11\33 0 0 0 0 0 0 9\23 0 0 0 - - \34 0 0 0 0 0 0 10\ 6\ \17 0 0 35\7 0 0 0 35\21 0 0 0 0 \16 0 0 4\4 0 0
\3 0 0 \17 0 0 \30 0 0 0 0 0 8\ 9\ 17\17 0 0 14\ 27\13 0 0 0 0 3\ - 20\34 0 0 0 0 0 \7 0 0 17\ 16\16 0 0 0 0 0
\15 0 0 3\16 0 0 16\4 0 0 10\21 0 0 0 0 0 0 \23 0 0 0 7\10 0 0 0 4\16 0 0 9\24 0 0 0 7\29 0 0 0 0 19\10 0 0 0 0
- \5 0 0 7\ 4\17 0 0 4\13 0 0 \7 0 0 0 8\ 16\15 0 0 16\4 0 0 \15 0 0 0 0 0 16\19 0 0 0 16\35 0 0 0 0 0 - - -
- - \28 0 0 0 0 0 0 0 - - \29 0 0 0 0 \13 0 0 0 0 - \25 0 0 0 0 0 \21 0 0 0 0 \6 0 0 0 - - -
- - - \5 0 0 \3 0 0 - - - - \11 0 0 0 \21 0 0 0 - - - - \23 0 0 0 \21 0 0 0 - - \16 0 0 - - -
