12 16
- 30\ 10\ 14\ - 34\ 22\ 7\ 17\ - 10\ 16\ 10\ - 13\ 29\
\13 0 0 0 \30 0 0 0 0 \10 0 0 0 \13 0 0
\21 0 0 0 8\14 0 0 0 0 38\24 0 0 0 27\6 0 0
\12 0 0 22\8 0 0 0 22\6 0 0 0 13\ 11\22 0 0 0
\22 0 0 0 0 0 \21 0 0 0 13\31 0 0 0 0 0
- 6\ 7\22 0 0 0 21\28 0 0 0 0 0 0 0 6\ 13\
\11 0 0 0 7\24 0 0 0 12\22 0 0 0 21\6 0 0 0
\3 0 0 29\7 0 0 0 10\6 0 0 13\10 0 0 12\12 0 0
\11 0 0 0 0 23\27 0 0 0 0 0 23\11 0 0 0 0
- 7\ 11\21 0 0 0 3\4 0 0 3\29 0 0 0 0 10\ 13\
\10 0 0 0 \15 0 0 0 \9 0 0 0 \7 0 0 0
\23 0 0 0 \10 0 0 0 \14 0 0 0 \21 0 0 0
