12 16
- 20\ 35\ - - - 7\ 24\ - 7\ 16\ - - - 34\ 18\
\16 0 0 4\ - 10\4 0 0 30\13 0 0 13\ - 3\13 0 0
\8 0 0 0 30\28 0 0 0 0 0 0 0 3\7 0 0 0
\45 0 0 0 0 0 0 0 0 0 30\16 0 0 0 0 0
\12 0 0 23\8 0 0 29\16 0 0 17\9 0 0 0 23\16 0 0
- \34 0 0 0 0 0 11\29 0 0 0 0 29\16 0 0 -
- - 34\17 0 0 20\17 0 0 24\16 0 0 17\17 0 0 35\ -
- 12\17 0 0 17\11 0 0 0 0 29\34 0 0 0 0 0 16\
\9 0 0 7\23 0 0 0 6\16 0 0 23\17 0 0 4\6 0 0
\35 0 0 0 0 0 3\45 0 0 0 0 0 0 0 0 0
\7 0 0 0 \29 0 0 0 0 0 0 0 \9 0 0 0
\11 0 0 - - \4 0 0 \16 0 0 - - \17 0 0
