14 20
- 9\ 23\ - 17\ 20\ - - - 6\ 6\ 7\ - - - 15\ 16\ - 23\ 10\
\9 0 0 35\17 0 0 24\ - 26\6 0 0 0 10\ - 9\13 0 0 35\10 0 0
\39 0 0 0 0 0 0 \18 0 0 0 0 0 \38 0 0 0 0 0 0
\18 0 0 0 11\16 0 0 29\4 0 0 \7 0 0 35\4 0 0 13\23 0 0 0
- - 20\16 0 0 4\24 0 0 0 33\ - 16\9 0 0 0 12\9 0 0 16\ -
- 11\16 0 0 0 0 6\23 0 0 0 19\9 0 0 0 8\24 0 0 0 0 23\
\22 0 0 0 \7 0 0 0 \6 0 0 0 \7 0 0 0 \16 0 0 0
\6 0 0 30\ - 4\6 0 0 \23 0 0 0 \10 0 0 9\ - 23\15 0 0
\10 0 0 0 6\6 0 0 0 11\18 0 0 0 30\20 0 0 0 3\20 0 0 0
- \12 0 0 0 0 20\11 0 0 0 \15 0 0 0 7\10 0 0 0 0 -
- 7\ 10\12 0 0 24\7 0 0 0 20\ - 24\12 0 0 0 9\4 0 0 12\ 21\
\7 0 0 0 13\17 0 0 \7 0 0 14\15 0 0 \4 0 0 7\23 0 0 0
\39 0 0 0 0 0 0 \35 0 0 0 0 0 \21 0 0 0 0 0 0
\4 0 0 \15 0 0 - - \23 0 0 0 - - \6 0 0 \8 0 0
