14 20
- - 34\ 6\ 7\ 11\ - - - 4\ 21\ - - - 10\ 3\ 8\ - 22\ 35\
- 15\14 0 0 0 0 11\ - 11\3 0 0 9\ - 14\6 0 0 0 \9 0 0
\38 0 0 0 0 0 0 23\10 0 0 0 0 22\18 0 0 0 0 16\14 0 0
\9 0 0 0 6\12 0 0 0 0 \16 0 0 0 0 0 13\17 0 0 0 0
\4 0 0 11\6 0 0 20\16 0 0 6\10 0 0 0 5\7 0 0 10\24 0 0 0
\10 0 0 0 0 3\15 0 0 39\7 0 0 \8 0 0 28\9 0 0 26\7 0 0
- \11 0 0 8\3 0 0 \7 0 0 0 23\12 0 0 0 16\7 0 0 0 -
- - 23\11 0 0 0 0 17\10 0 0 21\15 0 0 \29 0 0 0 0 39\ -
- 16\8 0 0 0 7\23 0 0 0 \10 0 0 0 24\15 0 0 16\15 0 0 20\
\5 0 0 16\4 0 0 12\17 0 0 23\12 0 0 24\17 0 0 18\25 0 0 0 0
\23 0 0 0 13\5 0 0 3\23 0 0 0 \16 0 0 4\17 0 0 8\10 0 0
\16 0 0 0 0 9\18 0 0 0 0 0 14\20 0 0 0 0 12\15 0 0 0
\7 0 0 \11 0 0 0 0 \29 0 0 0 0 \38 0 0 0 0 0 0
\3 0 0 \19 0 0 0 - - \10 0 0 - - \10 0 0 0 0 -
