14 24
- 16\ 27\ 14\ - - 30\ 16\ 9\ - - 7\ 9\ 22\ - - 10\ 13\ 29\ - - 14\ 15\ 28\
\20 0 0 0 9\ \22 0 0 0 - 28\8 0 0 0 9\ \22 0 0 0 - 5\12 0 0 0
\28 0 0 0 0 4\15 0 0 0 10\35 0 0 0 0 0 16\7 0 0 0 13\26 0 0 0 0
\7 0 0 4\10 0 0 0 11\9 0 0 0 9\ 20\19 0 0 0 0 6\14 0 0 0 18\14 0 0
\7 0 0 0 8\10 0 0 0 15\29 0 0 0 0 13\12 0 0 34\9 0 0 0 15\8 0 0 0
- 24\ 18\8 0 0 20\21 0 0 0 17\24 0 0 0 0 6\ 6\21 0 0 0 13\13 0 0 9\ 13\
\16 0 0 13\12 0 0 32\6 0 0 0 16\22 0 0 0 0 0 0 \22 0 0 0 0 0 0
\21 0 0 0 16\14 0 0 \21 0 0 0 16\ 20\ 9\12 0 0 0 9\4 0 0 7\23 0 0 0
\29 0 0 0 0 0 0 6\38 0 0 0 0 0 0 27\13 0 0 0 24\14 0 0 10\4 0 0
- 25\ 28\9 0 0 4\7 0 0 0 10\ 10\27 0 0 0 0 3\9 0 0 0 11\3 0 0 28\ 29\
\19 0 0 0 10\6 0 0 0 20\3 0 0 9\10 0 0 0 0 8\20 0 0 0 12\23 0 0 0
\16 0 0 7\20 0 0 0 13\30 0 0 0 0 13\ 10\12 0 0 0 11\8 0 0 0 15\14 0 0
\10 0 0 0 0 \11 0 0 0 \16 0 0 0 0 0 \21 0 0 0 \30 0 0 0 0
\22 0 0 0 - \19 0 0 0 - \18 0 0 0 - \7 0 0 0 - \22 0 0 0
