14 20
- - 29\ 13\ 30\ - - 38\ 9\ 10\ - 29\ 11\ 16\ - - 14\ 28\ 34\ -
- 23\23 0 0 0 9\ \6 0 0 0 16\23 0 0 0 - 9\7 0 0 0 21\
\16 0 0 0 0 0 16\42 0 0 0 0 0 0 0 6\16 0 0 0 0 0
\17 0 0 4\35 0 0 0 0 0 10\10 0 0 22\ \38 0 0 0 0 0 0
\23 0 0 0 0 \6 0 0 38\11 0 0 0 0 3\4 0 0 \22 0 0 0
\7 0 0 0 23\ 6\34 0 0 0 0 0 12\7 0 0 0 24\ 11\16 0 0 -
\5 0 0 28\25 0 0 0 0 0 16\ \6 0 0 0 16\12 0 0 0 41\ -
- \18 0 0 0 0 0 6\16 0 0 \16 0 0 28\34 0 0 0 0 0 25\
- - 34\11 0 0 0 7\22 0 0 0 11\ 16\17 0 0 0 0 0 8\16 0 0
- 16\15 0 0 - 23\6 0 0 0 24\26 0 0 0 0 0 - 11\6 0 0 0
\24 0 0 0 13\9 0 0 \29 0 0 0 0 23\3 0 0 3\29 0 0 0 0
\39 0 0 0 0 0 0 13\ 17\4 0 0 16\17 0 0 0 0 0 4\8 0 0
\16 0 0 0 0 0 \42 0 0 0 0 0 0 0 \15 0 0 0 0 0
- \9 0 0 0 - \24 0 0 0 \24 0 0 0 - \7 0 0 0 -
