12 20
- - 15\ 11\ 23\ - - 8\ 33\ 11\ 16\ 22\ 20\ 3\ - - 10\ 16\ 31\ -
- 24\20 0 0 0 8\ \28 0 0 0 0 0 0 0 - 22\22 0 0 0 20\
\19 0 0 0 0 0 15\41 0 0 0 0 0 0 0 7\34 0 0 0 0 0
\13 0 0 32\18 0 0 0 4\14 0 0 \12 0 0 12\11 0 0 0 34\16 0 0
\18 0 0 0 10\10 0 0 0 0 6\ 24\ 7\11 0 0 0 0 8\8 0 0 0
- \10 0 0 0 \45 0 0 0 0 0 0 0 0 0 \21 0 0 0 -
- - 16\14 0 0 - 8\ 8\ 31\13 0 0 0 25\ 12\ 8\ \7 0 0 21\ -
- 17\7 0 0 0 21\45 0 0 0 0 0 0 0 0 0 23\12 0 0 0 10\
\23 0 0 0 9\28 0 0 0 0 23\ - 24\12 0 0 0 0 9\20 0 0 0
\4 0 0 12\7 0 0 0 9\17 0 0 8\14 0 0 4\11 0 0 0 14\4 0 0
\34 0 0 0 0 0 \42 0 0 0 0 0 0 0 \34 0 0 0 0 0
- \6 0 0 0 - \29 0 0 0 0 0 0 0 - \10 0 0 0 -
