12 16
- 14\ 4\ 18\ 29\ 8\ 16\ 25\ - 34\ 7\ 13\ 30\ 16\ 16\ 3\
\28 0 0 0 0 0 0 0 \28 0 0 0 0 0 0 0
\42 0 0 0 0 0 0 0 10\41 0 0 0 0 0 0 0
- - 34\9 0 0 - 17\22 0 0 0 33\ \9 0 0 33\ -
- 10\24 0 0 0 23\22 0 0 0 0 0 10\23 0 0 0 11\
\8 0 0 0 \21 0 0 0 \24 0 0 0 \7 0 0 0
\14 0 0 34\ \8 0 0 29\ - 16\8 0 0 - 15\16 0 0
\20 0 0 0 12\24 0 0 0 13\7 0 0 0 28\10 0 0 0
- \11 0 0 0 \15 0 0 0 0 0 \19 0 0 0 -
- 13\ 17\14 0 0 4\ 9\23 0 0 0 12\ 3\5 0 0 8\ 15\
\29 0 0 0 0 0 0 0 \28 0 0 0 0 0 0 0
\42 0 0 0 0 0 0 0 \41 0 0 0 0 0 0 0
