14 18
- 12\ 7\ 39\ 17\ - 12\ 20\ 10\ - - 15\ 10\ 35\ - 16\ 29\ 6\
\10 0 0 0 0 \19 0 0 0 15\ \16 0 0 0 13\11 0 0 0
\28 0 0 0 0 28\14 0 0 0 0 45\37 0 0 0 0 0 0 0
- \36 0 0 0 0 0 0 22\20 0 0 0 41\16 0 0 0 0 25\
- 21\ 14\15 0 0 0 0 16\41 0 0 0 0 0 0 0 9\6 0 0
\33 0 0 0 0 0 18\25 0 0 0 0 6\29 0 0 0 0 0 0
\11 0 0 0 27\28 0 0 0 0 12\12 0 0 0 30\ 30\6 0 0 0
\11 0 0 38\20 0 0 0 39\34 0 0 0 0 0 0 0 36\11 0 0
- \30 0 0 0 0 0 0 29\34 0 0 0 0 0 0 0 32\ 17\
- 14\ 28\18 0 0 0 13\19 0 0 0 0 26\36 0 0 0 0 0 0
\27 0 0 0 0 6\14 0 0 0 9\40 0 0 0 0 0 0 0 0
\17 0 0 0 11\31 0 0 0 0 0 0 0 14\30 0 0 0 0 13\
\45 0 0 0 0 0 0 0 0 0 \38 0 0 0 0 0 0 0
\23 0 0 0 0 \18 0 0 0 0 \9 0 0 0 \7 0 0 0
