14 22
- 16\ 28\ - 10\ 28\ 38\ - 5\ 33\ - - - - 30\ 21\ 4\ 3\ - 41\ 15\ -
\9 0 0 \8 0 0 0 13\13 0 0 8\ 17\ 14\ \21 0 0 0 0 7\14 0 0 16\
\10 0 0 6\45 0 0 0 0 0 0 0 0 0 7\42 0 0 0 0 0 0 0 0
- \31 0 0 0 0 0 0 16\31 0 0 0 0 0 0 0 15\ 9\14 0 0 0 0
- 6\18 0 0 0 0 0 \4 0 0 - 16\20 0 0 0 \3 0 0 \6 0 0 -
\9 0 0 0 6\5 0 0 6\3 0 0 5\10 0 0 0 33\ 21\17 0 0 7\9 0 0 -
\10 0 0 34\43 0 0 0 0 0 0 0 0 3\ 32\21 0 0 0 28\3 0 0 32\ 18\
\16 0 0 0 0 0 6\11 0 0 0 0 4\11 0 0 0 0 23\17 0 0 0 0 0
- - 18\4 0 0 16\8 0 0 0 10\ 30\36 0 0 0 0 0 0 0 0 7\10 0 0
- \16 0 0 \10 0 0 - 26\19 0 0 0 \16 0 0 \3 0 0 14\21 0 0 0
- 15\13 0 0 9\9 0 0 20\19 0 0 0 5\ 4\17 0 0 16\16 0 0 0 0 0 -
\27 0 0 0 0 6\ 17\35 0 0 0 0 0 0 0 11\27 0 0 0 0 0 0 6\
\41 0 0 0 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0 \4 0 0
- \3 0 0 \14 0 0 0 0 - - - \3 0 0 \6 0 0 0 \14 0 0
