12 16
- 15\ 33\ 10\ 7\ 19\ - 20\ 10\ 31\ - 28\ 6\ 7\ 31\ 28\
\34 0 0 0 0 0 \23 0 0 0 \34 0 0 0 0 0
\16 0 0 0 0 0 12\7 0 0 0 6\16 0 0 0 0 0
\12 0 0 - 33\31 0 0 0 0 0 0 0 29\ \4 0 0
\4 0 0 13\6 0 0 0 - 22\29 0 0 0 0 9\14 0 0
\25 0 0 0 0 0 0 33\6 0 0 10\ \28 0 0 0 0
- 34\ 16\7 0 0 \34 0 0 0 0 0 17\3 0 0 34\ 15\
\28 0 0 0 0 12\ 16\12 0 0 \22 0 0 0 0 0 0
\14 0 0 \29 0 0 0 0 10\ 19\12 0 0 0 \7 0 0
\12 0 0 5\ 15\28 0 0 0 0 0 0 0 12\ 7\6 0 0
\22 0 0 0 0 0 \24 0 0 0 \18 0 0 0 0 0
\16 0 0 0 0 0 \7 0 0 0 \34 0 0 0 0 0
