14 20
- 11\ 24\ 23\ - - - 17\ 13\ - - - 10\ 5\ - - - 27\ 24\ 15\
\10 0 0 0 11\ - 3\9 0 0 30\ - 29\4 0 0 16\ - 28\24 0 0 0
\29 0 0 0 0 12\15 0 0 0 0 23\13 0 0 0 0 12\30 0 0 0 0
- \23 0 0 0 0 0 \35 0 0 0 0 0 \35 0 0 0 0 0 -
- - 17\7 0 0 0 34\ - 16\24 0 0 0 33\ - 20\7 0 0 0 20\ -
- 7\16 0 0 0 0 0 23\31 0 0 0 0 0 10\17 0 0 0 0 0 11\
\6 0 0 0 \34 0 0 0 0 0 \21 0 0 0 0 0 \7 0 0 0
\4 0 0 21\ - 11\20 0 0 0 32\ - 26\23 0 0 0 10\ - 36\16 0 0
\7 0 0 0 10\22 0 0 0 0 0 9\16 0 0 0 0 0 17\12 0 0 0
- \26 0 0 0 0 0 \16 0 0 0 0 0 \18 0 0 0 0 0 -
- - 6\8 0 0 0 4\ - 8\17 0 0 0 18\ - 3\7 0 0 0 24\ -
- 7\17 0 0 0 0 0 8\34 0 0 0 0 0 4\22 0 0 0 0 0 16\
\12 0 0 0 0 \11 0 0 0 0 \14 0 0 0 0 \30 0 0 0 0
\7 0 0 0 - - \4 0 0 - - \11 0 0 - - \23 0 0 0
