14 20
- - - 23\ 14\ 15\ - - - 8\ 7\ 24\ - - - 12\ 6\ 8\ - -
- - 35\24 0 0 0 24\ - 24\11 0 0 0 30\ - 10\10 0 0 0 16\ -
- 23\35 0 0 0 0 0 45\35 0 0 0 0 0 45\15 0 0 0 0 0 23\
\23 0 0 0 42\ 17\14 0 0 0 0 \30 0 0 0 0 5\ 35\17 0 0 0
\13 0 0 \35 0 0 0 0 0 21\ - 33\18 0 0 0 0 0 \15 0 0
\16 0 0 10\16 0 0 8\7 0 0 0 24\10 0 0 0 6\7 0 0 6\9 0 0
- \10 0 0 0 \45 0 0 0 0 0 0 0 0 0 \9 0 0 0 -
- - 16\16 0 0 \4 0 0 19\15 0 0 0 34\12 0 0 \7 0 0 34\ -
- 18\12 0 0 0 14\45 0 0 0 0 0 0 0 0 0 3\12 0 0 0 21\
\8 0 0 \15 0 0 23\6 0 0 0 \22 0 0 0 10\4 0 0 \9 0 0
\12 0 0 10\35 0 0 0 0 0 23\ - 23\26 0 0 0 0 0 23\15 0 0
\7 0 0 0 4\ 3\30 0 0 0 0 15\30 0 0 0 0 4\ 3\24 0 0 0
- \17 0 0 0 0 0 \30 0 0 0 0 0 \22 0 0 0 0 0 -
- - \7 0 0 0 - - \24 0 0 0 - - \9 0 0 0 - -
