12 16
- 21\ 6\ 34\ - 16\ 12\ 22\ - 11\ 16\ 6\ - 18\ 21\ 9\
\20 0 0 0 \24 0 0 0 4\13 0 0 0 \23 0 0 0
\16 0 0 0 11\28 0 0 0 0 0 0 0 30\13 0 0 0
\16 0 0 0 0 0 16\7 0 0 0 14\16 0 0 0 0 0
- 19\ 7\17 0 0 19\11 0 0 11\14 0 0 9\13 0 0 23\ 9\
\7 0 0 0 11\20 0 0 0 0 39\28 0 0 0 0 0 0
\11 0 0 34\4 0 0 11\7 0 0 0 10\8 0 0 16\12 0 0
\39 0 0 0 0 0 0 12\29 0 0 0 0 3\10 0 0 0
- 10\ 22\10 0 0 13\3 0 0 17\6 0 0 10\4 0 0 22\ 12\
\15 0 0 0 0 0 3\21 0 0 0 16\16 0 0 0 0 0
\18 0 0 0 \41 0 0 0 0 0 0 0 \23 0 0 0
\24 0 0 0 \6 0 0 0 \22 0 0 0 \10 0 0 0
