12 20
- 12\ 29\ 10\ - 13\ 13\ - 6\ 42\ - 15\ 4\ 6\ 11\ 29\ - 30\ 15\ 21\
\22 0 0 0 \14 0 0 22\10 0 0 \18 0 0 0 0 0 \22 0 0 0
\10 0 0 0 \15 0 0 0 0 0 11\15 0 0 0 0 0 \7 0 0 0
\12 0 0 15\ 22\ 8\28 0 0 0 0 0 0 - 12\14 0 0 10\24 0 0 0
\29 0 0 0 0 0 0 0 \17 0 0 - 15\18 0 0 0 0 0 10\ 22\
- 3\ 14\21 0 0 0 9\ - 3\6 0 0 \3 0 0 - 29\28 0 0 0 0
\22 0 0 0 0 0 0 8\9 0 0 20\ \8 0 0 16\11 0 0 \3 0 0
\10 0 0 - 19\ 30\18 0 0 0 0 0 12\28 0 0 0 0 - 12\12 0 0
- 21\ 9\ 6\29 0 0 0 0 - 8\6 0 0 0 \16 0 0 10\6 0 0 0
\16 0 0 0 0 0 - 4\ 6\12 0 0 0 10\ 8\ 16\8 0 0 0 9\ 12\
\34 0 0 0 0 0 \6 0 0 0 \28 0 0 0 0 \10 0 0 0 0
\10 0 0 \8 0 0 \10 0 0 0 \15 0 0 0 0 \29 0 0 0 0
