14 18
- 7\ 17\ 23\ 33\ - 18\ 12\ 4\ - - 19\ 4\ 18\ - 24\ 28\ 11\
\30 0 0 0 0 \16 0 0 0 10\ \8 0 0 0 26\10 0 0 0
\14 0 0 0 0 30\14 0 0 0 0 45\36 0 0 0 0 0 0 0
- \33 0 0 0 0 0 0 24\18 0 0 0 40\17 0 0 0 0 11\
- 20\ 10\11 0 0 0 0 12\39 0 0 0 0 0 0 0 12\5 0 0
\16 0 0 0 0 0 23\24 0 0 0 0 8\32 0 0 0 0 0 0
\15 0 0 0 25\14 0 0 0 0 24\16 0 0 0 40\ 21\6 0 0 0
\12 0 0 23\22 0 0 0 38\34 0 0 0 0 0 0 0 35\7 0 0
- \21 0 0 0 0 0 0 18\32 0 0 0 0 0 0 0 17\ 14\
- 30\ 12\6 0 0 0 28\25 0 0 0 0 10\36 0 0 0 0 0 0
\19 0 0 0 0 8\21 0 0 0 15\38 0 0 0 0 0 0 0 0
\13 0 0 0 8\28 0 0 0 0 0 0 0 3\30 0 0 0 0 8\
\45 0 0 0 0 0 0 0 0 0 \30 0 0 0 0 0 0 0
\17 0 0 0 0 \26 0 0 0 0 \10 0 0 0 \20 0 0 0
