14 20
- 6\ 40\ 11\ 10\ 21\ - 6\ 16\ 4\ - 10\ 29\ 28\ 7\ 34\ - 10\ 20\ 26\
\16 0 0 0 0 0 39\7 0 0 0 \35 0 0 0 0 0 23\7 0 0 0
\45 0 0 0 0 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
- 24\12 0 0 4\15 0 0 0 0 30\ - 16\15 0 0 16\15 0 0 0 0 0
\23 0 0 0 0 0 0 30\13 0 0 16\34 0 0 0 0 0 0 28\3 0 0
\7 0 0 28\45 0 0 0 0 0 0 0 0 0 15\30 0 0 0 0 0 0
\24 0 0 0 28\14 0 0 0 28\17 0 0 11\4 0 0 23\18 0 0 0 28\ 20\
\25 0 0 0 0 39\30 0 0 0 0 6\29 0 0 0 0 29\30 0 0 0 0
- 30\ 15\23 0 0 0 16\13 0 0 16\4 0 0 25\7 0 0 0 3\7 0 0 0
\22 0 0 0 0 0 0 30\45 0 0 0 0 0 0 0 0 0 29\11 0 0
\7 0 0 7\38 0 0 0 0 0 0 \4 0 0 24\22 0 0 0 0 0 0
\15 0 0 0 0 0 8\14 0 0 17\ - 16\30 0 0 0 0 7\11 0 0 4\
\45 0 0 0 0 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
\15 0 0 0 \32 0 0 0 0 0 \23 0 0 0 \15 0 0 0 0 0
