12 20
- 15\ 6\ 15\ 21\ 10\ - - - 17\ 4\ 16\ - - - 12\ 8\ 26\ 11\ 5\
\16 0 0 0 0 0 20\ - 13\20 0 0 0 28\ - 13\15 0 0 0 0 0
\38 0 0 0 0 0 0 16\27 0 0 0 0 0 12\38 0 0 0 0 0 0
- 20\ 18\13 0 0 \11 0 0 0 15\ - 16\21 0 0 0 \3 0 0 15\ 29\
\22 0 0 0 23\ 17\29 0 0 0 0 23\13 0 0 0 0 23\ 20\22 0 0 0
\21 0 0 0 0 0 0 \17 0 0 0 0 0 \24 0 0 0 0 0 0
\4 0 0 33\17 0 0 11\ - 19\15 0 0 0 27\ - 29\16 0 0 33\13 0 0
\25 0 0 0 0 0 0 14\24 0 0 0 0 0 9\38 0 0 0 0 0 0
\13 0 0 0 11\ \11 0 0 0 0 \30 0 0 0 0 - 8\8 0 0 0
- 3\ 8\16 0 0 14\22 0 0 0 6\ 8\ 12\9 0 0 0 9\8 0 0 12\ 4\
\29 0 0 0 0 0 0 \34 0 0 0 0 0 \38 0 0 0 0 0 0
\15 0 0 0 0 0 - - \7 0 0 0 - - \15 0 0 0 0 0
