14 20
- - 30\ 12\ 15\ - 3\ 30\ 6\ - - - 10\ 12\ 15\ - 28\ 16\ 29\ -
- 3\22 0 0 0 \14 0 0 0 38\ - 19\10 0 0 0 \24 0 0 0 17\
\12 0 0 0 0 20\12 0 0 0 0 16\11 0 0 0 0 29\22 0 0 0 0
\8 0 0 30\12 0 0 15\31 0 0 0 0 0 0 35\23 0 0 0 8\16 0 0
- \39 0 0 0 0 0 0 16\23 0 0 0 16\39 0 0 0 0 0 0 -
- 24\ 23\12 0 0 0 0 17\16 0 0 6\23 0 0 0 34\10 0 0 0 23\ 20\
\23 0 0 0 29\22 0 0 0 0 0 0 39\34 0 0 0 0 0 29\16 0 0
\29 0 0 0 0 29\3 0 0 3\18 0 0 0 17\9 0 0 17\19 0 0 0 0
\16 0 0 4\24 0 0 0 0 0 11\38 0 0 0 0 0 0 16\24 0 0 0
- - 20\9 0 0 0 16\8 0 0 0 3\17 0 0 12\30 0 0 0 0 11\ -
- 3\38 0 0 0 0 0 0 7\8 0 0 0 13\22 0 0 0 0 0 0 3\
\3 0 0 4\12 0 0 0 14\33 0 0 0 0 0 0 4\4 0 0 4\4 0 0
\11 0 0 0 0 \11 0 0 0 0 \10 0 0 0 0 \11 0 0 0 0
- \7 0 0 0 \17 0 0 0 - - \7 0 0 0 \7 0 0 0 -
