12 16
- - 16\ 3\ 7\ - - 16\ 9\ 29\ 16\ 7\ - - 35\ 26\
- 17\6 0 0 0 42\ \34 0 0 0 0 0 - 4\17 0 0
\16 0 0 0 0 0 7\15 0 0 0 0 0 10\8 0 0 0
\9 0 0 21\11 0 0 0 0 16\8 0 0 42\19 0 0 0 0
\23 0 0 0 \5 0 0 4\21 0 0 0 0 0 20\16 0 0
\6 0 0 0 11\18 0 0 0 0 3\34 0 0 0 0 0 -
- - 16\17 0 0 0 35\7 0 0 0 23\7 0 0 0 16\ 20\
- 29\17 0 0 0 0 0 28\17 0 0 0 0 \10 0 0 0
\11 0 0 9\35 0 0 0 0 0 7\16 0 0 23\23 0 0 0
\11 0 0 0 0 8\14 0 0 11\25 0 0 0 0 4\3 0 0
\23 0 0 0 \34 0 0 0 0 0 \16 0 0 0 0 0
\8 0 0 - \15 0 0 0 0 0 - \15 0 0 0 -
