12 18
- 10\ 19\ 19\ 16\ - 32\ 19\ 6\ 11\ - 6\ 10\ 13\ 19\ - 11\ 14\
\14 0 0 0 0 8\12 0 0 0 0 \11 0 0 0 0 \10 0 0
\45 0 0 0 0 0 0 0 0 0 12\13 0 0 0 0 36\12 0 0
\17 0 0 0 23\19 0 0 0 24\11 0 0 0 32\26 0 0 0 0 -
\7 0 0 23\15 0 0 0 9\7 0 0 0 13\23 0 0 0 0 23\ 17\
- \16 0 0 0 \11 0 0 0 \7 0 0 0 \27 0 0 0 0
- - 33\12 0 0 - 23\3 0 0 - 13\16 0 0 - 35\20 0 0 0
- 11\20 0 0 0 24\18 0 0 0 12\14 0 0 0 22\16 0 0 0 0
\14 0 0 15\19 0 0 0 22\7 0 0 0 8\29 0 0 0 0 8\ -
\16 0 0 0 16\23 0 0 0 10\11 0 0 0 10\12 0 0 0 0 14\
\45 0 0 0 0 0 0 0 0 0 \26 0 0 0 0 \9 0 0
\23 0 0 0 0 \20 0 0 0 0 \14 0 0 0 0 \11 0 0
