14 20
- 14\ 4\ 17\ - 16\ 22\ 16\ - 21\ 4\ 24\ - 20\ 22\ 14\ - 12\ 4\ 7\
\10 0 0 0 7\24 0 0 0 \13 0 0 0 \21 0 0 0 17\7 0 0 0
\30 0 0 0 0 0 0 0 24\6 0 0 0 13\28 0 0 0 0 0 0 0
- 8\ 41\11 0 0 24\12 0 0 0 0 \10 0 0 0 0 23\6 0 0 29\ 10\
\23 0 0 0 0 0 0 15\10 0 0 \3 0 0 10\27 0 0 0 0 0 0
\8 0 0 7\ 24\35 0 0 0 0 0 \35 0 0 0 0 0 23\ 15\8 0 0
\45 0 0 0 0 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
- 7\19 0 0 0 20\ 38\ 9\ 29\ 38\ - 21\ 20\ 8\ 30\ 18\10 0 0 0 8\
\45 0 0 0 0 0 0 0 0 0 \45 0 0 0 0 0 0 0 0 0
\3 0 0 11\ 7\35 0 0 0 0 0 \15 0 0 0 0 0 24\ 11\13 0 0
\22 0 0 0 0 0 0 9\17 0 0 \13 0 0 22\26 0 0 0 0 0 0
- 7\ 15\4 0 0 9\29 0 0 0 0 16\27 0 0 0 0 6\8 0 0 5\ 15\
\42 0 0 0 0 0 0 0 \18 0 0 0 \29 0 0 0 0 0 0 0
\10 0 0 0 \6 0 0 0 \23 0 0 0 \21 0 0 0 \13 0 0 0
