14 24
- 24\ 13\ - 5\ 23\ 25\ 16\ - - - 28\ 27\ 22\ - - - 8\ 29\ 11\ 17\ - 20\ 12\
\14 0 0 18\26 0 0 0 0 13\ - \13 0 0 0 - - 14\30 0 0 0 0 34\6 0 0
\41 0 0 0 0 0 0 0 0 4\ \7 0 0 0 - 12\43 0 0 0 0 0 0 0 0
\21 0 0 0 6\12 0 0 30\9 0 0 8\24 0 0 0 18\12 0 0 29\7 0 0 3\22 0 0 0
- \9 0 0 0 9\6 0 0 34\42 0 0 0 0 0 0 0 16\15 0 0 6\10 0 0 0 -
- 22\ 11\11 0 0 0 19\12 0 0 14\4 0 0 \6 0 0 21\3 0 0 7\12 0 0 0 19\ 10\
\8 0 0 0 \41 0 0 0 0 0 0 0 \41 0 0 0 0 0 0 0 \7 0 0 0
\9 0 0 17\ - 5\12 0 0 0 0 7\ 37\ - 27\ 7\11 0 0 0 0 14\ - 20\12 0 0
\24 0 0 0 6\42 0 0 0 0 0 0 0 \28 0 0 0 0 0 0 0 16\19 0 0 0
- - 26\7 0 0 0 26\6 0 0 7\7 0 0 27\6 0 0 17\6 0 0 27\21 0 0 0 13\ -
- 23\15 0 0 0 12\17 0 0 14\29 0 0 0 0 0 0 0 14\11 0 0 9\11 0 0 0 23\
\9 0 0 0 15\4 0 0 6\13 0 0 \21 0 0 0 \14 0 0 5\13 0 0 13\20 0 0 0
\43 0 0 0 0 0 0 0 0 - \23 0 0 0 - \40 0 0 0 0 0 0 0 0
\16 0 0 \29 0 0 0 0 - - \13 0 0 0 - - \11 0 0 0 0 \14 0 0
