20 32
- 6\ 38\ 4\ - 11\ 17\ 25\ - 8\ 29\ 4\ - 21\ 11\ 8\ 45\ - 18\ 3\ - 34\ 10\ - 13\ 16\ 24\ - 7\ 37\ 20\ 13\
\11 0 0 0 16\24 0 0 0 \11 0 0 0 13\10 0 0 0 0 \8 0 0 18\11 0 0 \22 0 0 0 12\29 0 0 0 0
\29 0 0 0 0 0 0 0 10\40 0 0 0 0 0 0 0 0 11\16 0 0 0 0 0 25\38 0 0 0 0 0 0 0 0
\11 0 0 30\6 0 0 25\11 0 0 0 0 12\21 0 0 0 29\24 0 0 0 11\34 0 0 0 0 0 6\12 0 0 13\13 0 0 0
- 4\6 0 0 0 15\14 0 0 0 31\13 0 0 0 12\11 0 0 0 0 11\18 0 0 0 24\11 0 0 0 19\15 0 0 0 0 0
\29 0 0 0 0 0 0 28\8 0 0 21\10 0 0 0 13\23 0 0 0 0 0 19\7 0 0 0 20\18 0 0 0 0 0 41\ 11\
\17 0 0 0 19\41 0 0 0 0 0 0 0 6\30 0 0 0 0 12\7 0 0 0 9\29 0 0 0 0 0 23\11 0 0 0 0
- 24\ 29\23 0 0 0 0 0 10\11 0 0 0 0 29\17 0 0 0 0 11\23 0 0 0 0 0 0 42\24 0 0 0 19\16 0 0
\34 0 0 0 0 0 11\13 0 0 0 0 17\17 0 0 0 11\23 0 0 0 11\19 0 0 0 41\12 0 0 0 0 16\15 0 0 0
\13 0 0 12\22 0 0 0 0 0 0 22\17 0 0 0 6\4 0 0 16\12 0 0 0 11\11 0 0 0 0 14\27 0 0 0 0 17\
\20 0 0 0 0 18\16 0 0 15\24 0 0 0 25\15 0 0 0 45\10 0 0 0 19\23 0 0 0 12\16 0 0 35\14 0 0 0 0
- 13\10 0 0 0 0 23\12 0 0 0 0 7\13 0 0 0 14\17 0 0 21\7 0 0 0 11\39 0 0 0 0 0 0 15\3 0 0
\7 0 0 0 10\21 0 0 0 0 18\13 0 0 0 29\11 0 0 0 26\15 0 0 0 19\25 0 0 0 0 26\35 0 0 0 0 0
\17 0 0 39\16 0 0 0 11\38 0 0 0 0 0 0 10\29 0 0 0 0 11\30 0 0 0 0 11\16 0 0 0 0 0 22\ 4\
\10 0 0 0 0 13\16 0 0 0 0 0 15\19 0 0 0 11\30 0 0 0 0 14\29 0 0 0 0 0 0 0 29\7 0 0 0
- 27\ 22\16 0 0 0 0 0 23\7 0 0 0 7\15 0 0 0 0 0 11\13 0 0 0 14\6 0 0 10\37 0 0 0 0 0 0
\26 0 0 0 0 0 23\20 0 0 0 6\11 0 0 0 23\26 0 0 0 0 23\6 0 0 0 17\15 0 0 0 20\17 0 0 0 23\
\16 0 0 0 9\16 0 0 9\23 0 0 0 0 0 7\12 0 0 0 4\15 0 0 0 17\21 0 0 0 0 13\10 0 0 13\10 0 0
\37 0 0 0 0 0 0 0 0 \17 0 0 0 0 0 \39 0 0 0 0 0 0 0 0 \41 0 0 0 0 0 0 0
\30 0 0 0 0 \11 0 0 0 \7 0 0 \12 0 0 \13 0 0 0 0 \20 0 0 0 \17 0 0 0 \15 0 0 0
