15 20
- - - 11\ 17\ - - - 15\ 22\ 15\ 12\ 17\ - - - 15\ 7\ - -
- 23\ 9\6 0 0 15\ - 27\34 0 0 0 0 0 26\ - 27\4 0 0 14\ 7\
\33 0 0 0 0 0 \29 0 0 0 0 0 0 0 \17 0 0 0 0 0
\16 0 0 0 0 0 44\20 0 0 0 \13 0 0 0 36\28 0 0 0 0 0
\10 0 0 - 13\25 0 0 0 0 21\ - 33\10 0 0 0 0 16\ \10 0 0
- - 11\ 28\28 0 0 0 0 0 0 11\38 0 0 0 0 0 0 13\ 27\ -
- 15\20 0 0 0 14\5 0 0 12\17 0 0 0 4\4 0 0 8\11 0 0 0 6\
\18 0 0 0 \16 0 0 \17 0 0 0 0 0 \7 0 0 \20 0 0 0
\11 0 0 0 16\11 0 0 15\31 0 0 0 0 0 25\15 0 0 12\10 0 0 0
- \22 0 0 0 10\14 0 0 25\8 0 0 0 33\14 0 0 27\21 0 0 0 -
- 10\ 17\ \26 0 0 0 0 0 0 \30 0 0 0 0 0 0 - 15\ 21\
\7 0 0 10\ 23\14 0 0 0 0 21\ - 17\12 0 0 0 0 17\ 10\14 0 0
\18 0 0 0 0 0 \12 0 0 0 14\20 0 0 0 \34 0 0 0 0 0
\34 0 0 0 0 0 \42 0 0 0 0 0 0 0 \17 0 0 0 0 0
- - \7 0 0 - - \15 0 0 0 0 0 - - \14 0 0 - -
