14 24
- 34\ 23\ - 23\ 12\ 22\ - 28\ 7\ 6\ 21\ 45\ - 12\ 24\ 16\ 28\ - 12\ 15\ 3\ 28\ -
\14 0 0 \20 0 0 0 \34 0 0 0 0 0 \19 0 0 0 0 \12 0 0 0 0 28\
\10 0 0 \16 0 0 0 18\17 0 0 0 0 0 \30 0 0 0 0 11\32 0 0 0 0 0
\7 0 0 \15 0 0 0 0 0 23\ 6\14 0 0 13\10 0 0 6\15 0 0 0 8\ \7 0 0
\16 0 0 12\9 0 0 24\29 0 0 0 0 \7 0 0 0 40\15 0 0 0 0 0 20\17 0 0
\10 0 0 0 0 11\16 0 0 27\7 0 0 6\13 0 0 13\7 0 0 0 3\ 29\26 0 0 0 0
- \24 0 0 0 0 0 4\16 0 0 5\14 0 0 \15 0 0 9\23 0 0 0 0 0 35\ 13\
- 15\ 23\ - 3\20 0 0 0 0 27\6 0 0 0 5\24 0 0 0 0 0 0 13\8 0 0 0
\12 0 0 17\4 0 0 19\11 0 0 0 0 16\7 0 0 \13 0 0 - 14\6 0 0 \12 0 0
\37 0 0 0 0 0 0 29\16 0 0 11\20 0 0 0 25\8 0 0 29\22 0 0 0 29\7 0 0
- 21\15 0 0 12\ 20\15 0 0 12\18 0 0 0 13\ 23\17 0 0 8\13 0 0 10\28 0 0 0 0
\13 0 0 13\34 0 0 0 0 0 0 0 16\21 0 0 0 0 0 0 16\16 0 0 0 0 12\
\17 0 0 0 0 0 \17 0 0 \35 0 0 0 0 0 \29 0 0 0 0 \23 0 0 0
\31 0 0 0 0 0 \6 0 0 \12 0 0 \17 0 0 \19 0 0 0 0 \9 0 0 0
