12 18
- 16\ 38\ - 18\ 20\ 6\ 36\ - - - 23\ 8\ 15\ 20\ 24\ 14\ 5\
\10 0 0 29\20 0 0 0 0 15\ - 14\42 0 0 0 0 0 0 0
\44 0 0 0 0 0 0 0 0 8\40 0 0 0 0 0 0 0 0
- 25\11 0 0 0 0 10\20 0 0 0 0 0 - \9 0 0 37\ 28\
\13 0 0 0 0 12\32 0 0 0 0 0 29\ - - 11\23 0 0 0
\15 0 0 0 14\19 0 0 0 0 \12 0 0 6\ 4\29 0 0 0 0
\17 0 0 16\14 0 0 0 0 14\ - 19\11 0 0 0 0 10\3 0 0
\20 0 0 0 0 - \16 0 0 9\13 0 0 0 0 12\21 0 0 0
\19 0 0 0 17\ - - 21\15 0 0 0 0 0 14\11 0 0 0 0
- 3\ 11\6 0 0 10\ 4\17 0 0 0 0 0 16\14 0 0 0 0 13\
\39 0 0 0 0 0 0 0 0 \38 0 0 0 0 0 0 0 0
\29 0 0 0 0 0 0 0 - - \16 0 0 0 0 \16 0 0
