14 24
- 12\ 20\ 28\ - 16\ 13\ 26\ 7\ - 44\ 3\ 15\ 21\ - 13\ 15\ 4\ 31\ - 15\ 33\ 21\ 11\
\20 0 0 0 \10 0 0 0 0 \20 0 0 0 0 \12 0 0 0 0 \29 0 0 0 0
\23 0 0 0 34\21 0 0 0 0 8\13 0 0 0 0 14\27 0 0 0 0 12\11 0 0 0 0
\16 0 0 0 0 0 23\26 0 0 0 0 14\ \8 0 0 0 8\ \23 0 0 0 0 0 0
- 28\ 17\34 0 0 0 0 0 \9 0 0 0 16\15 0 0 0 0 28\17 0 0 0 0 16\ 34\
\12 0 0 11\23 0 0 0 28\ 6\ 8\30 0 0 0 0 40\ \28 0 0 0 0 \23 0 0 0
\30 0 0 0 0 \32 0 0 0 0 0 \20 0 0 0 5\ 4\20 0 0 0 16\ 12\13 0 0
\10 0 0 0 0 26\ 23\19 0 0 0 0 38\ 7\ \11 0 0 0 0 10\ \21 0 0 0 0
\4 0 0 34\ \18 0 0 0 4\ \14 0 0 0 16\16 0 0 0 0 0 16\10 0 0 0 0
\22 0 0 0 10\10 0 0 0 0 11\ 13\26 0 0 0 0 7\ - 28\6 0 0 0 29\7 0 0
- 18\ 20\27 0 0 0 0 \10 0 0 0 0 \22 0 0 0 10\34 0 0 0 0 0 12\ 7\
\37 0 0 0 0 0 0 11\ 16\21 0 0 0 7\ 11\11 0 0 0 0 13\17 0 0 0 0 0
\28 0 0 0 0 \24 0 0 0 0 \11 0 0 0 0 \30 0 0 0 0 \21 0 0 0
\10 0 0 0 0 \13 0 0 0 0 \30 0 0 0 0 \13 0 0 0 0 \9 0 0 0
