12 20
- - - 17\ 17\ - 10\ 7\ 14\ 15\ - 24\ 11\ - 28\ 16\ 15\ 8\ - -
- - 21\16 0 0 \29 0 0 0 0 \16 0 0 13\29 0 0 0 0 18\ -
- 12\21 0 0 0 5\11 0 0 0 0 \37 0 0 0 0 0 0 0 0 27\
\17 0 0 22\7 0 0 0 4\3 0 0 15\26 0 0 0 0 9\ 12\6 0 0 0
\15 0 0 0 0 0 14\4 0 0 12\13 0 0 16\10 0 0 0 0 \8 0 0
- 29\ 17\11 0 0 20\6 0 0 3\13 0 0 5\9 0 0 3\15 0 0 6\15 0 0
\20 0 0 0 9\17 0 0 23\6 0 0 10\11 0 0 4\3 0 0 19\15 0 0 0
\15 0 0 \17 0 0 26\6 0 0 30\4 0 0 29\4 0 0 4\6 0 0 22\ 13\
\6 0 0 9\10 0 0 0 0 9\17 0 0 6\8 0 0 15\15 0 0 0 0 0
\10 0 0 0 8\ 17\27 0 0 0 0 \10 0 0 5\14 0 0 0 11\17 0 0
- \41 0 0 0 0 0 0 0 0 \13 0 0 0 0 \23 0 0 0 -
- - \27 0 0 0 0 \13 0 0 \18 0 0 0 0 \4 0 0 - -
