14 24
- - 42\ 21\ - 18\ 3\ 16\ 7\ - 34\ 5\ 23\ - 24\ 10\ 23\ 10\ 7\ - 24\ 17\ 15\ -
- 8\12 0 0 \13 0 0 0 0 9\19 0 0 0 \34 0 0 0 0 0 \20 0 0 0 28\
\12 0 0 0 23\44 0 0 0 0 0 0 0 0 4\16 0 0 0 0 0 21\28 0 0 0 0
\33 0 0 0 0 0 21\ 4\8 0 0 0 9\10 0 0 0 23\9 0 0 3\15 0 0 15\8 0 0
\13 0 0 19\14 0 0 0 0 27\ 14\13 0 0 5\20 0 0 0 16\10 0 0 0 22\22 0 0 0
- 3\24 0 0 0 21\42 0 0 0 0 0 0 0 7\ 14\11 0 0 7\21 0 0 0 0 0 0
\7 0 0 0 24\6 0 0 5\6 0 0 12\ 8\21 0 0 0 0 0 0 11\9 0 0 21\ 41\ 17\
\41 0 0 0 0 0 0 0 0 9\15 0 0 15\14 0 0 14\38 0 0 0 0 0 0 0 0
- 16\ 33\ 6\14 0 0 4\22 0 0 0 0 0 0 9\ 26\15 0 0 16\3 0 0 20\23 0 0 0
\28 0 0 0 0 0 0 27\6 0 0 19\ 14\42 0 0 0 0 0 0 0 29\24 0 0 0 11\
\22 0 0 0 21\6 0 0 0 15\23 0 0 0 11\4 0 0 14\ 18\29 0 0 0 0 12\16 0 0
\7 0 0 4\15 0 0 5\8 0 0 16\8 0 0 0 4\22 0 0 0 4\ 12\17 0 0 0 0 0
\11 0 0 0 0 \34 0 0 0 0 0 \40 0 0 0 0 0 0 0 0 \6 0 0 0
- \18 0 0 0 \27 0 0 0 0 0 \20 0 0 0 \11 0 0 0 0 \16 0 0 -
