14 18
- 13\ 18\ 38\ 35\ - 20\ 6\ 8\ - - 22\ 14\ 17\ - 14\ 28\ 8\
\28 0 0 0 0 \12 0 0 0 30\ \19 0 0 0 21\19 0 0 0
\13 0 0 0 0 28\27 0 0 0 0 45\29 0 0 0 0 0 0 0
- \29 0 0 0 0 0 0 26\11 0 0 0 28\10 0 0 0 0 14\
- 21\ 26\18 0 0 0 0 12\30 0 0 0 0 0 0 0 17\5 0 0
\26 0 0 0 0 0 24\25 0 0 0 0 23\35 0 0 0 0 0 0
\24 0 0 0 14\13 0 0 0 0 22\12 0 0 0 36\ 27\18 0 0 0
\17 0 0 36\24 0 0 0 37\28 0 0 0 0 0 0 0 22\15 0 0
- \32 0 0 0 0 0 0 18\41 0 0 0 0 0 0 0 16\ 15\
- 13\ 26\18 0 0 0 13\18 0 0 0 0 30\39 0 0 0 0 0 0
\26 0 0 0 0 6\9 0 0 0 9\36 0 0 0 0 0 0 0 0
\18 0 0 0 12\30 0 0 0 0 0 0 0 10\30 0 0 0 0 15\
\45 0 0 0 0 0 0 0 0 0 \42 0 0 0 0 0 0 0
\24 0 0 0 0 \14 0 0 0 0 \11 0 0 0 \13 0 0 0
