12 16
- 27\ 12\ 16\ 37\ - 45\ 7\ 6\ - 14\ 22\ - 41\ 12\ 24\
\15 0 0 0 0 \6 0 0 0 29\11 0 0 \20 0 0 0
\23 0 0 0 0 17\22 0 0 0 0 0 0 21\21 0 0 0
\13 0 0 6\28 0 0 0 0 11\34 0 0 0 0 0 0 0
\38 0 0 0 0 0 0 10\22 0 0 0 16\10 0 0 0 0
- 23\ 22\4 0 0 \20 0 0 0 0 21\24 0 0 0 27\ 10\
\12 0 0 0 0 10\8 0 0 0 16\11 0 0 15\7 0 0 0
\13 0 0 \28 0 0 0 0 18\12 0 0 12\29 0 0 0 0
\15 0 0 11\7 0 0 0 21\32 0 0 0 0 0 22\4 0 0
- 13\3 0 0 14\13 0 0 0 0 11\18 0 0 0 0 0 8\
\16 0 0 0 0 0 \29 0 0 0 0 \11 0 0 0 0
\29 0 0 0 0 - \11 0 0 0 0 \28 0 0 0 0
