12 20
- 15\ 18\ - 23\ 22\ 8\ 12\ - 36\ 18\ 13\ 15\ - 20\ 10\ 29\ - 23\ 23\
\15 0 0 \28 0 0 0 0 \11 0 0 0 0 \23 0 0 0 \13 0 0
\4 0 0 28\13 0 0 0 0 22\29 0 0 0 0 27\6 0 0 0 10\7 0 0
\34 0 0 0 0 0 11\29 0 0 0 0 40\17 0 0 0 4\14 0 0 0 0
\9 0 0 0 29\16 0 0 0 0 0 7\7 0 0 0 10\27 0 0 0 0 11\
- 8\ 38\11 0 0 0 0 26\45 0 0 0 0 0 0 0 0 0 10\15 0 0
\28 0 0 0 0 4\4 0 0 15\15 0 0 0 13\13 0 0 35\10 0 0 0 0
\7 0 0 14\45 0 0 0 0 0 0 0 0 0 11\11 0 0 0 0 29\ 20\
- 10\11 0 0 0 0 15\11 0 0 0 23\16 0 0 0 0 0 20\19 0 0 0
\23 0 0 0 0 5\9 0 0 0 8\13 0 0 0 0 17\33 0 0 0 0 0
\16 0 0 \7 0 0 0 \14 0 0 0 0 \24 0 0 0 0 \7 0 0
\6 0 0 \20 0 0 0 \29 0 0 0 0 \28 0 0 0 0 \13 0 0
