12 20
- - 15\ 7\ 10\ 13\ 22\ - 16\ 30\ - 16\ 5\ - - 7\ 32\ 26\ 39\ 14\
- 7\15 0 0 0 0 0 \8 0 0 \13 0 0 11\ 23\15 0 0 0 0 0
\33 0 0 0 0 0 0 10\11 0 0 7\45 0 0 0 0 0 0 0 0 0
\13 0 0 3\ - \16 0 0 17\10 0 0 0 23\24 0 0 0 0 0 0 7\
\6 0 0 0 28\ 12\ \36 0 0 0 0 0 0 0 0 \27 0 0 0 0
- 6\ 38\6 0 0 0 \6 0 0 0 - 27\13 0 0 - 4\16 0 0 0 0
\12 0 0 30\10 0 0 - 30\16 0 0 \4 0 0 6\ \11 0 0 3\11 0 0
\26 0 0 0 0 - 13\11 0 0 15\ 8\7 0 0 0 \7 0 0 0 23\ 11\
\10 0 0 0 0 6\39 0 0 0 0 0 0 0 0 12\ - \6 0 0 0
- 17\38 0 0 0 0 0 0 14\6 0 0 0 16\5 0 0 5\ 16\ 4\16 0 0
\45 0 0 0 0 0 0 0 0 0 \8 0 0 \23 0 0 0 0 0 0
\32 0 0 0 0 0 - \6 0 0 \17 0 0 \25 0 0 0 0 0 -
