12 20
- 10\ 21\ - - - 27\ 12\ 8\ - - - 6\ 4\ 16\ - - - 23\ 10\
\14 0 0 45\ - 9\20 0 0 0 10\ - 26\7 0 0 0 10\ - 45\12 0 0
\7 0 0 0 22\15 0 0 0 0 0 11\15 0 0 0 0 0 14\11 0 0 0
\23 0 0 0 0 0 0 - 33\7 0 0 0 30\ \21 0 0 0 0 0 0
- 8\ 10\29 0 0 0 0 24\34 0 0 0 0 0 19\30 0 0 0 0 8\ 10\
\27 0 0 0 0 \27 0 0 0 0 \21 0 0 0 0 \11 0 0 0 0
\7 0 0 0 24\ - 16\15 0 0 30\ - 12\15 0 0 18\ - 21\19 0 0 0
\14 0 0 0 0 10\30 0 0 0 0 9\25 0 0 0 0 11\20 0 0 0 0
- 18\ 9\19 0 0 0 0 \16 0 0 0 0 0 \12 0 0 0 0 20\ 23\
\22 0 0 0 0 0 0 13\ 7\16 0 0 0 16\ 9\27 0 0 0 0 0 0
\22 0 0 0 \34 0 0 0 0 0 \18 0 0 0 0 0 \24 0 0 0
\6 0 0 - - \7 0 0 0 - - \22 0 0 0 - - \16 0 0
