16 22
- - - 10\ 17\ 29\ 15\ - 18\ 11\ 30\ 10\ 16\ 39\ 13\ - 17\ 14\ 42\ 39\ 16\ 24\
- 22\ 12\29 0 0 0 0 \42 0 0 0 0 0 0 0 \39 0 0 0 0 0 0
\30 0 0 0 0 0 0 16\28 0 0 0 0 0 0 0 28\26 0 0 0 0 0 0
\19 0 0 0 15\29 0 0 0 0 0 0 0 8\24 0 0 0 16\34 0 0 0 0 0
\6 0 0 21\9 0 0 4\4 0 0 17\28 0 0 0 0 \17 0 0 36\13 0 0 30\ -
- 15\ 39\17 0 0 34\15 0 0 0 0 0 17\10 0 0 27\33 0 0 0 0 0 0 5\
\28 0 0 0 0 0 0 0 25\12 0 0 0 9\22 0 0 0 15\26 0 0 0 0 0
\26 0 0 0 0 0 9\17 0 0 0 11\9 0 0 25\27 0 0 0 0 0 30\13 0 0
- 16\17 0 0 29\16 0 0 27\12 0 0 0 8\24 0 0 0 23\7 0 0 25\16 0 0 4\
\17 0 0 39\28 0 0 0 0 0 38\3 0 0 39\24 0 0 0 11\20 0 0 0 0 0
\35 0 0 0 0 0 3\16 0 0 0 4\22 0 0 0 35\36 0 0 0 0 0 0 0
- \30 0 0 0 0 0 0 \11 0 0 17\31 0 0 0 0 0 30\17 0 0 14\ 10\
- 18\ 24\11 0 0 15\3 0 0 24\25 0 0 0 0 6\16 0 0 12\16 0 0 13\3 0 0
\33 0 0 0 0 0 17\24 0 0 0 12\32 0 0 0 0 0 0 0 17\6 0 0 0
\37 0 0 0 0 0 0 \42 0 0 0 0 0 0 0 \35 0 0 0 0 0 0
\25 0 0 0 0 0 0 \28 0 0 0 0 0 0 0 \26 0 0 0 0 - -
