12 16
- 14\ 11\ 17\ - 21\ 7\ 34\ - 18\ 11\ 10\ - 34\ 23\ 10\
\7 0 0 0 \17 0 0 0 \6 0 0 0 \16 0 0 0
\24 0 0 0 21\21 0 0 0 7\23 0 0 0 15\24 0 0 0
\18 0 0 0 0 0 34\7 0 0 0 24\16 0 0 0 0 0
- 15\ 11\5 0 0 23\33 0 0 0 0 0 21\14 0 0 8\ 22\
\38 0 0 0 0 0 0 0 \41 0 0 0 0 0 0 0
\16 0 0 15\ 21\16 0 0 17\ - 34\5 0 0 21\ 17\14 0 0
\29 0 0 0 0 0 0 0 6\29 0 0 0 0 0 0 0
- 23\ 11\14 0 0 20\35 0 0 0 0 0 9\13 0 0 11\ 23\
\16 0 0 0 0 0 16\7 0 0 0 16\24 0 0 0 0 0
\12 0 0 0 \22 0 0 0 \18 0 0 0 \23 0 0 0
\21 0 0 0 \17 0 0 0 \20 0 0 0 \10 0 0 0
